traffic_id,date_time,city,area,vehicle_count,avg_speed_kmh,accident_count,congestion_level,road_condition,visibility_m
,,London,,592.0,60.7,1.0,Low,Dry,6721.0
9002.0,2024-06-08 12:49,London,,,117.2,0.0,Low,Dry,3649.0
9003.0,2099-00-00 91:66,London,,2188.0,57.0,0.0,Low,Dry,18060.0
9004.0,2099-00-00 93:94,London,,190.0,103.9,0.0,Low,Dry,3450.0
9005.0,2024-05-06 05:40,London,,193.0,81.2,0.0,Extreme,Wet,1803.0
9006.0,,London,,2169.0,67.4,0.0,Very High,Dry,2791.0
9007.0,2099-00-00 92:65,London,,806.0,62.4,0.0,Low,Dry,6385.0
9008.0,2024-02-05 14:00,London,,1527.0,50.6,,Low,Dry,8271.0
9009.0,2099-00-00 97:94,London,,1383.0,51.6,0.0,Low,Dry,8330.0
9010.0,2024-03-01 00:36,London,,234.0,85.3,0.0,Low,Dry,3038.0
9011.0,2024-02-15 12:40,London,,30000.0,3.0,20.0,High,Dry,4703.0
9012.0,2024-08-14 16:30,London,,3417.0,45.3,,Medium,Dry,1952.0
9013.0,2099-00-00 97:89,,,457.0,60.4,0.0,Low,Wet,6205.0
9014.0,2024-04-01 16:48,London,,2293.0,59.3,0.0,Low,Dry,8437.0
9015.0,2024-05-16 03:24,London,,387.0,65.4,0.0,Low,Dry,6832.0
9016.0,2024-12-26 08:47,London,,2908.0,63.9,0.0,Medium,Dry,3455.0
9017.0,2024-06-26 08:41,London,,3119.0,70.4,0.0,,Snowy,94.0
9018.0,2024-11-20 14:29,London,,2318.0,100.4,0.0,Low,Dry,1517.0
9019.0,,London,,599.0,-28.929747216179006,0.0,Medium,Dry,9831.0
9020.0,2099-00-00 96:61,London,,-100.0,10.0,0.0,Medium,Dry,5788.0
9021.0,2024-05-16 06:42,London,,547.0,67.1,0.0,,Dry,5065.0
9022.0,,London,,1667.0,50.2,0.0,Low,Wet,3685.0
9023.0,2024-05-03 05:25,London,,327.0,72.1,0.0,Low,Dry,
9024.0,2024-05-17 03:45,London,,259.0,52.1,0.0,Low,Dry,2814.0
9025.0,2024-11-25 01:49,London,Area_5,919.0,55.8,0.0,Low,Dry,6498.0
9026.0,2024-05-07 12:07,London,,2326.0,70.3,0.0,Low,Dry,26514.0
9027.0,TBD,London,,2170.0,48.2,0.0,Low,Dry,2876.0
9028.0,2024-08-29 03:35,London,,577.0,88.8,0.0,,Dry,7006.0
9029.0,2024-07-07 21:20,London,,2269.0,33.5,0.0,Low,Dry,8035.0
9030.0,2024-03-17 21:25,London,,2347.0,87.9,0.0,Low,Damaged,3634.0
9031.0,2024-07-21 01:39,London,,562.0,80.6,,Low,Dry,2993.0
9032.0,02/03/2024 08PM,London,,30000.0,3.0,0.0,,Dry,3416.0
9033.0,2099-00-00 98:73,London,Area_10,95.0,73.6,0.0,Extreme,Dry,
9034.0,,London,,3026.0,36.6,0.0,Medium,Dry,1877.0
9035.0,23/04/2024 11AM,London,,2639.0,35.3,0.0,Medium,,1593.0
9035.0,2024-04-18 20:30,London,,0.0,36.1,2.0,Low,Damaged,2677.0
9037.0,,London,Area_11,2866.0,40.9,0.0,Medium,Dry,7170.0
9038.0,2024-04-15 09:28,London,,25000.0,3.0,1.0,High,,9110.0
9038.0,2099-00-00 92:95,,,621.0,80.6,0.0,Low,Dry,7282.0
9040.0,Unknown,London,,0.0,3.7,0.0,Low-Medium,Dry,5433.0
9041.0,2024-01-10 22:46,,,2655.0,31.0,0.0,Medium,Dry,902.0
9042.0,2024-04-05 15:42,London,,2249.0,46.0,100.0,Low,Dry,2806.0
9043.0,2024-03-24 06:20,London,,790.0,58.8,1.0,Low,Dry,7950.0
9044.0,2024-01-30 03:58,London,,228.0,77.4,1.0,Low,,5181.0
9045.0,2024-02-25 09:04,London,,3152.0,39.9,1.0,Medium,Dry,2662.0
9046.0,Unknown,London,,2809.0,-23.234873327526177,0.0,High,Dry,20173.0
9047.0,2024-03-25 13:45,London,,2125.0,51.7,,Low,Wet,5623.0
9047.0,2024-01-05 16:00,London,,3459.0,4.9,1.0,High,Dry,2176.0
9049.0,29/01/2024 09PM,,,1761.0,65.3,0.0,Low,Dry,3555.0
9050.0,N/A,London,,584.0,70.3,0.0,Low,Wet,9995.0
9051.0,2099-00-00 95:79,London,,581.0,71.1,1.0,Low,Wet,8291.0
9052.0,2024-04-08 07:28,London,,2614.0,40.2,0.0,Medium,Dry,7868.0
9053.0,2024-05-02 12:40,London,,2469.0,23.3,50.0,,,133.0
9054.0,2024-03-27 10:57,London,,2394.0,91.6,0.0,,Dry,27069.0
9055.0,,London,,1942.0,,0.0,High,Dry,7042.0
9056.0,2024-02-28 23:59,London,,574.0,103.5,0.0,Low,Dry,1658.0
9057.0,2024-09-01 17:09,London,,3342.0,26.2,0.0,Medium,Dry,8585.0
9058.0,24/04/2024 08AM,London,,388.0,57.4,0.0,Low,Dry,946.0
9059.0,2024-07-21 14:20,London,Area_10,1214.0,60.7,0.0,Low,Dry,5311.0
9060.0,2024-02-28 05:46,London,,175.0,66.9,0.0,Low,Dry,9293.0
9061.0,2099-00-00 94:88,London,,846.0,90.3,100.0,Low,Wet,1044.0
9062.0,2024-06-17 11:26,London,,,14.8,0.0,High,Dry,7739.0
9063.0,2024-01-15 08:39,London,,2014.0,48.3,0.0,Low,Dry,5624.0
9064.0,2024-01-09 02:51,London,,104.0,89.6,0.0,Low,Wet,1863.0
9065.0,2024-03-28 09:50,,Area_7,2912.0,37.9,0.0,Medium,Wet,5008.0
9066.0,2024-01-14 15:17,London,Area_4,2314.0,38.2,0.0,,Dry,861.0
9067.0,28/10/2024 10AM,London,,1014.0,77.8,0.0,Low,Dry,8836.0
9068.0,2024-05-14 22:47,London,,2061.0,26.7,0.0,Medium,Dry,24304.0
9069.0,2024-08-20 13:06,London,,2604.0,73.1,0.0,Low-Medium,Dry,5917.0
9070.0,2024-01-18 17:44,London,,2812.0,55.7,0.0,Medium,Dry,7424.0
9071.0,2024-03-21 16:00,London,,2956.0,54.8,0.0,Medium,Dry,5923.0
9072.0,2024-07-03 21:46,London,,1413.0,70.2,0.0,Low,Dry,4267.0
9073.0,2099-00-00 99:75,London,,1716.0,47.6,0.0,Low-Medium,Dry,1541.0
9074.0,2024-01-31 11:30,London,,2152.0,42.8,0.0,Low,,2715.0
9075.0,2024-04-02 14:30,London,,1993.0,27.1,0.0,Medium,Dry,8384.0
9076.0,2024-03-14 03:45,London,,51.0,90.7,0.0,Low,Wet,7260.0
9077.0,2024-01-08 09:48,London,,2107.0,64.5,0.0,,Dry,1457.0
9078.0,2024-05-31 16:36,London,Area_11,3356.0,32.1,,Medium,Dry,5807.0
