weather_id,date_time,city,season,temperature_c,humidity,rain_mm,wind_speed_kmh,visibility_m,weather_condition,air_pressure_hpa
5001.0,2024-07-14 06:43,London,Summer,21.3,63.0,6.6,14.9,7422,Clear,1018.6
5002.0,2024-06-08 12:49,London,Summer,22.7,74.0,6.2,11.3,577,Clear,1023.9
5003.0,15/01/2024 02PM,London,Winter,3.1,70.0,2.8,2.2,5041,Rain,1004.4
5004.0,24/12/2024 12AM,London,Winter,0.6,49.0,2.3,,6781,Rain,
5005.0,2024-05-06T05:40:00Z,London,Spring,11.9,80.0,4.5,18.3,3354,Clear,1002.7
5006.0,2099-13-73 67:96,London,Winter,1.0,78.0,0.5,32.1,6850,Clear,1012.7
5007.0,,London,Autumn,9.2,40.0,0.2,13.9,3609,Clear,1020.8
5008.0,2024-02-05 14:00,London,Winter,9.4,46.0,1.0,37.3,6592,Fog,1027.8
5008.0,2024-01-04 13:20,London,Winter,2.9,90.0,0.5,6.7,345,Fog,981.3
5010.0,2024-03-01 00:36,London,Summer,16.4,24.0,3.9,7.7,1734,Fog,999.5
,2024-02-15T12:40:00Z,London,Winter,4.0,73.0,0.0,25.4,,Fog,1030.8
5012.0,2024-08-14 16:30,London,Summer,19.4,89.0,0.6,9.8,5231,Rain,1003.4
5013.0,2024-04-04 02:51,London,Spring,12.0,33.0,1.9,37.0,5364,,995.0
5014.0,01/04/2024 04PM,London,Spring,12.3,81.0,0.6,33.3,8298,Fog,
5015.0,2099-13-59 55:87,London,Winter,6.2,68.0,3.4,21.4,5435,Clear,1014.7
5016.0,2024-12-26T08:47:00Z,London,Winter,1.8,63.0,1.9,31.3,3694,Clear,1013.4
5017.0,2024-06-26 08:41,London,Summer,17.9,46.0,0.4,28.2,7033,Clear,1031.3
5018.0,2024-11-20 14:29,London,Autumn,12.2,81.0,109.7,10.7,2603,Rain,1023.3
5018.0,2024-09-26 00:12,London,Autumn,10.0,42.0,1.3,12.8,2288,Fog,959.9
,2099-13-86 72:91,London,Autumn,100.0,95.0,1.3,21.5,7198,,1022.1
5021.0,2024-05-16T06:42:00Z,London,Spring,12.1,51.0,2.0,54.8,2472,Snow,1016.5
5022.0,30/05/2024 08PM,London,Spring,7.7,69.0,1.7,16.3,7043,Rain,999.8
5023.0,2024-05-03 05:25,London,Spring,12.5,93.0,1.6,14.3,5097,Clear,1019.0
5024.0,2024-05-17T03:45:00Z,London,Spring,15.4,43.0,1.4,28.4,3091,Clear,1041.1
5025.0,,London,Winter,6.0,68.0,,6.9,205,Rain,1001.7
5025.0,2024-05-07 12:07,,Spring,,54.0,5.2,17.6,30329,Rain,1025.4
5027.0,2024-07-23 13:39,London,Summer,19.6,37.0,0.7,250.0,7835,Clear,1005.9
5027.0,29/08/2024 03AM,London,Summer,21.5,200.0,5.4,19.8,7850,,1039.1
5029.0,2024-07-07 21:20,London,Summer,19.1,84.0,11.4,14.1,,Rain,988.3
5030.0,2024-03-17 21:25,London,Spring,9.2,23.0,185.4,24.4,2066,Fog,1018.9
5031.0,2024-07-21T01:39:00Z,London,Summer,18.2,63.0,0.9,19.8,7209,Rain,1016.5
5032.0,2024-03-02 20:48,London,Spring,9.5,60.0,,5.5,6991,Clear,1026.1
5033.0,2024-04-05 00:28,London,Spring,15.4,38.0,5.2,8.2,612,Rain,995.6
5034.0,,London,Spring,12.9,62.0,2.3,7.6,2983,Clear,996.7
5035.0,,London,Autumn,12.1,-5.0,7.9,29.8,6501,Rain,984.9
5036.0,2024-04-18 20:30,London,Spring,12.4,81.0,6.4,6.3,9481,Snow,1022.6
5037.0,,London,Winter,1.9,26.0,0.1,27.7,4064,Clear,1004.0
5038.0,,London,Winter,4.4,55.0,,11.5,8401,Rain,1030.1
5039.0,05/03/2024 05AM,London,Spring,12.9,58.0,4.2,22.2,373,Rain,1034.1
5040.0,2024-01-19 18:48,London,Winter,2.6,46.0,6.8,34.9,5199,Clear,1034.1
5041.0,2024-01-10 22:46,London,Winter,3.8,74.0,10.1,24.2,29614,Rain,1041.7
5042.0,2024-04-05 15:42,,Spring,12.5,25.0,5.2,32.3,3589,Clear,1026.0
5043.0,2024-03-24 06:20,London,Spring,10.6,74.0,4.3,13.8,3206,Clear,977.2
5044.0,2024-01-30 03:58,London,Winter,3.4,150.0,4.5,11.3,5994,Rain,1034.8
5045.0,2024-02-25 09:04,London,Winter,0.7,35.0,4.9,27.1,9424,Clear,1050.0
5046.0,2024-04-12 12:37,London,Spring,17.1,-5.0,,1.8,6256,Clear,1016.7
